tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
121.0,0.01019783690571785,-1.5530316716661004e-06,-1.1655454792062216e-07,-1.6309919296769788e-08,6.07776588690783e-08,7.300789543530327e-07
122.0,0.01059679500758648,3.525682705273801e-05,1.8380430354778659e-06,-1.7545023948286535e-08,6.851415588771047e-08,1.0651545206300334e-06
123.0,0.00955429207533598,-8.638637561983962e-06,8.861839332538394e-07,1.617605970612637e-11,7.869095328317429e-08,6.517972719110929e-07
124.0,0.010229652747511864,2.4611939275929298e-06,-1.6952235356171637e-07,9.081529967317135e-09,8.535861303660034e-08,6.801728058767533e-07
125.0,0.010286354459822178,3.338420627335645e-05,1.4731469715804634e-06,7.337762949718021e-09,9.235511161178044e-08,9.118781334610039e-07
126.0,0.00971880741417408,-5.202402523016385e-06,-5.458566906906651e-08,2.165499465928232e-08,1.0121747957608446e-07,2.502581371571399e-07
127.0,0.009700159542262554,1.3893524769805674e-05,5.1033663971207025e-08,2.1125504960591227e-08,1.0364502343325814e-07,4.3743884906613764e-07
128.0,0.01007635798305273,1.7819223163855806e-05,-1.9758503246510496e-07,2.1639738427951928e-08,1.0805281387214311e-07,1.7117065083734275e-07
129.0,0.01032585371285677,1.5564406915236456e-05,-8.490380045408472e-07,1.95995042868672e-08,1.0982029697262399e-07,-1.0730802072083356e-07
130.0,0.009484329260885715,2.4689364947121677e-05,1.8037994583867198e-07,1.1546948296796425e-08,1.0880255237177367e-07,3.2813471877583996e-07
131.0,0.010452724061906338,1.154159725675826e-05,-1.9063393352848194e-07,1.3432410096949673e-08,1.1223245404226876e-07,5.593759809057833e-07
132.0,0.009765139780938625,3.064464504752506e-05,1.7138742479046552e-06,1.1570843089053885e-08,1.1769483868591339e-07,9.864744790001087e-07
133.0,0.009548086673021317,-8.52083879904035e-06,5.386643637429371e-07,2.7935062954706755e-08,1.2711378251212998e-07,6.023510909613421e-07
134.0,0.010915327817201614,1.0207845445035705e-05,4.849515348044418e-07,3.3814761068405245e-08,1.3368864213102205e-07,5.882314929407815e-07
135.0,0.009659253060817719,1.0932822170556535e-05,1.5824268579977847e-06,3.84990306653133e-08,1.3937051897967967e-07,8.182278904021328e-07
136.0,0.009685937315225601,-1.2757387804463882e-05,-3.1472361628165163e-07,5.382631801780925e-08,1.47295823035684e-07,5.722533335149128e-07
137.0,0.010581332258880138,3.19315321869894e-05,-8.284096390679917e-07,5.0496122864216794e-08,1.5335102569385704e-07,-1.2457527200304905e-07
138.0,0.009572958573698997,2.23024328300854e-05,6.246688549714123e-07,4.256579170736597e-08,1.5215847177566456e-07,4.2805500400538286e-07
